Date,Hokkaido,Aomori,Akita,Iwate,Miyagi,Yamagata,Fukushima,Tochigi,Ibaraki,Chiba,Tokyo,Kanagawa,Saitama,Gunma,Niigata,Toyama,Nagano,Yamanashi,Shizuoka,Aichi,Ishikawa,Fukui,Gifu,Mie,Shiga,Wakayama,Nara,Kyoto,Osaka,Hyogo,Okayama,Tottori,Shimane,Hiroshima,Yamaguchi,Kagawa,Tokushima,Kochi,Ehime,Oita,Fukuoka,Saga,Nagasaki,Kumamoto,Miyazaki,Kagoshima,Okinawa
01/16/2020,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/24/2020,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/2020,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2020,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/28/2020,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,
01/29/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
01/30/2020,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
01/31/2020,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/01/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/04/2020,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/05/2020,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
02/08/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/12/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/13/2020,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
02/14/2020,1,,,,,,,,,,2,1,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
02/15/2020,,,,,,,,,,,8,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
02/16/2020,,,,,,,,,,,4,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/17/2020,,,,,,,,,,,,1,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,
02/18/2020,,,,,,,,,,,3,1,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,
02/19/2020,2,,,,,,,,,,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
02/20/2020,1,,,,,,,,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,1
02/21/2020,3,,,,,,,,,1,3,3,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,1,,,
02/22/2020,9,,,,,,,1,,2,2,4,,,,,,,,4,1,,,,,1,,,,,,,,,,,,,,,,,,2,,,
02/23/2020,9,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2020,4,,,,,,,,,,3,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,
02/25/2020,5,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
02/26/2020,4,,,,,,,,,2,3,1,,,,,1,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,
02/27/2020,15,,,,,,,,,,1,3,,,,,,,,2,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
02/28/2020,12,,,,,,,,,,,2,,,,,,,1,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
02/29/2020,4,,,,1,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
03/01/2020,2,,,,,,,,,1,2,3,,,,,,,,3,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,
03/02/2020,5,,,,,,,,,,1,4,,,4,,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,,
03/03/2020,2,,,,,,,,,,1,1,,,,,,,,9,,,,,,,,1,2,2,,,,,,,,,,1,,,,,,,
03/04/2020,3,,,,,,,,,1,4,,,,,,,,,8,,,,,,,,2,9,,,,,,1,,,4,1,,,,,1,1,,
03/05/2020,1,,,,,,,1,,,8,3,2,,1,,,,,8,,,,,1,1,,1,1,1,,,,,2,,,,,,,,,,,,
03/06/2020,7,,"1,Â 1",,,,,,,3,6,6,3,,,,1,1,,5,,,,,,,3,1,13,4,,,,,,,,2,,,,,,,,,
03/07/2020,8,,,,,,1,,,5,5,1,,1,,,,1,,7,,,,,,,,1,10,2,,,,1,,,,1,,,,,,,,,
03/08/2020,3,,,,,,,,,,,,1,,,,,,,11,,,,,,,,,14,2,,,,,,,,2,,,,,,,,,
03/09/2020,7,,,,,,,,,1,,,,,2,,,,,6,1,,,,,,3,4,,4,,,,,,,,,,,,,,,,,
03/10/2020,3,,,,,,,,,1,3,2,5,,3,,,,1,13,,,,1,,,,1,18,8,,,,,,,,,,,,,,,,,
03/11/2020,7,,,,,,,,,2,6,3,2,,,,,,,5,,,,5,,,1,2,7,13,,,,,,,,,,,,,,,,,
03/12/2020,10,,,,,,,,,2,2,3,6,2,3,,,,1,7,,,,,,,,2,9,9,,,,,,,,,,,,,,,,,
03/13/2020,9,,,,,,,,,2,3,1,2,,,,,,,3,,,,,,,,,3,10,,,,,,,,,,,,1,,,,,
03/14/2020,7,,,,,,1,,,2,9,,7,2,2,,1,,,7,,,,1,,,,,10,11,,,,,,,,,,,,,1,,,,
03/15/2020,4,,,,,,,,,,3,6,,,,,,,,,,,,,1,1,,,4,11,,,,,,,,,,,,,,,,,
03/16/2020,4,,,,,,,,,,,,,1,1,,,,,2,,,,,1,,,,2,4,,,,,,,,,,,,,,,,,
03/17/2020,,,,,,,,,1,,12,1,4,4,4,,,,,2,,,,,1,,,2,4,4,,,,,,1,,,,,1,,,,2,,
03/18/2020,2,,,,,,,1,2,2,9,4,1,,,,,,,5,,1,1,,,,,2,5,5,,,,,,,,,,,,,,,,,
03/19/2020,3,,,,,,,,,6,7,5,4,,,,,,,4,,,,1,,1,,,2,1,,,,,,,,,,2,1,,,1,,,
03/20/2020,1,,,,,,,,,1,11,1,3,1,4,,,,,5,1,,,,,1,,1,4,9,,,,1,,,,,,5,,,,,,,
03/21/2020,1,,,,,,,1,,2,7,3,3,,2,,,,,2,,,,,,,,1,2,6,,,,1,,,,,,5,,,,,,,
03/22/2020,3,,,,,,,,1,3,2,5,6,,,,,,,2,,,2,,,,1,1,6,4,1,,,,1,,,,,8,,,,,,,
03/23/2020,,2,,,,,,,1,1,16,1,1,,,,,,,2,,,3,,1,,,1,3,2,,,,,,,,,,1,1,,,,,,1
03/24/2020,1,,,,,,,2,5,5,17,6,7,2,1,,1,2,,3,,,3,,,,,2,8,5,,,,,,,,,,1,3,,,,,,1
03/25/2020,4,4,,,,,,4,,4,41,4,1,1,1,,,,,6,,2,1,,,,,4,7,1,,,,,1,,,,,2,,,1,1,,,
03/26/2020,1,,,,1,,,1,,6,47,6,7,,,,,,,3,,3,3,,1,,,3,7,1,,,,1,1,,,,,,3,,,,,1,1
03/27/2020,1,,2,,,,,,3,5,40,11,6,,1,,1,,,3,,3,2,,,,,1,20,3,1,,,,,,,1,1,2,4,,,2,,,
03/28/2020,2,1,,,,,,,3,62,63,12,6,4,1,,,,1,4,1,3,2,,,,2,5,15,3,1,,,,,,,,,,6,,,1,,,2
03/29/2020,4,,,,2,,,1,,33,68,9,5,,,,2,,,3,,1,1,,,,,7,17,7,,,,2,,,,1,,1,4,,,1,,,
03/30/2020,1,1,1,,2,,,,4,,13,3,1,,,1,,1,4,3,2,2,2,2,,1,,9,8,4,1,,,,,1,2,1,,,3,,,2,,,1
03/31/2020,,,1,,1,1,2,2,4,13,78,14,15,1,,1,,1,3,8,2,5,4,,1,,,13,28,11,,,,,,,,2,5,1,17,1,,,,,
04/01/2020,4,,1,,4,1,2,3,18,14,66,19,4,1,1,3,1,3,2,5,2,1,5,,,1,4,7,34,14,1,,,,,,,3,,,32,1,3,1,,1,
04/02/2020,3,1,2,,1,1,2,,2,5,97,25,14,1,,3,,,1,6,1,9,5,1,1,2,4,12,33,7,2,,,5,0,,,1,3,1,22,0,3,,,1,
04/03/2020,5,2,1,,6,5,1,,10,20,89,31,17,4,3,,1,2,2,12,8,12,4,1,6,1,2,18,35,6,2,,,2,1,,,2,7,1,19,2,1,3,4,,2
04/04/2020,3,,1,,2,2,5,,5,25,117,20,25,1,,2,1,1,1,19,8,4,7,,3,,3,10,41,15,1,,,2,1,,,3,1,1,27,1,2,,1,,5
04/05/2020,,,,,3,3,2,,5,25,143,27,25,,,,1,2,,7,11,7,11,,1,2,1,9,21,13,1,,,,4,,,7,1,,16,2,1,1,2,,
04/06/2020,,,,,3,6,,,7,18,83,6,14,,,1,2,5,2,11,2,6,1,,1,5,1,8,20,6,,,,1,1,,,3,2,1,14,,,1,1,,6
04/07/2020,4,1,,,6,,8,3,6,13,80,18,17,3,2,2,,3,3,21,10,6,10,,5,2,2,12,53,20,1,,,3,3,,,2,,2,23,3,,2,1,,12
04/08/2020,10,,,,2,3,5,6,0,33,143,67,34,,2,1,5,3,9,20,11,7,8,,2,3,2,10,43,19,2,,,5,1,1,,1,2,6,25,,1,,4,1,5
04/09/2020,18,2,,,2,5,4,5,5,30,181,26,35,4,2,7,2,2,2,21,7,5,9,2,7,3,4,10,92,39,1,,1,1,,,,10,1,,26,1,,1,,,3
04/10/2020,13,3,2,,2,5,3,1,9,33,189,56,53,11,,2,7,3,4,14,19,5,11,,,1,3,9,80,29,,,1,5,1,1,,5,2,1,39,,1,1,,,7
04/11/2020,16,5,2,,7,1,1,3,12,36,197,76,37,35,1,7,,3,2,34,12,4,9,2,4,,2,7,70,42,0,,4,26,1,,,,2,,43,1,,1,1,,8
04/12/2020,12,,,,6,5,1,,6,44,166,31,40,11,,14,1,2,2,2,9,2,6,,,1,2,12,45,17,,,1,6,4,4,,6,,,30,,,2,,,9
04/13/2020,5,,,,3,1,,1,1,19,91,15,15,,,5,7,1,5,9,8,4,7,,2,,3,12,24,9,,,1,3,1,11,,,7,1,11,,,1,,,7
04/14/2020,18,,1,,10,4,1,1,6,16,161,20,22,6,3,6,1,1,1,10,10,,8,2,11,1,3,5,59,19,1,,2,25,1,1,,,2,2,32,2,,3,,,4
04/14/2020,18,,1,,10,4,1,1,6,16,161,20,22,6,3,6,1,1,1,10,10,,8,2,11,1,3,5,59,19,1,,2,25,1,1,,,2,2,33,2,,3,,,4
04/15/2020,23,,,,1,6,1,3,3,35,127,40,61,10,1,6,2,3,1,11,9,8,3,1,1,2,6,5,74,20,,,3,23,3,,,2,1,5,30,,1,2,,,10
04/16/2020,23,,,,13,5,9,2,4,58,149,56,51,6,1,7,6,3,1,14,6,3,5,6,5,1,1,10,52,31,1,,1,5,1,2,,,1,4,26,,1,,,,8
04/17/2020,33,,,,1,4,3,2,8,35,201,33,27,2,6,11,2,3,1,10,14,1,1,6,11,1,2,10,55,27,1,,1,6,1,2,,1,,,17,1,1,2,,2,7
04/18/2020,38,,,,4,2,8,,4,34,181,44,36,6,3,12,,2,,15,13,2,1,3,2,1,3,7,88,21,,2,,6,,1,,1,3,,24,,,2,,1,9
04/19/2020,27,,,,,1,2,2,4,18,107,30,37,2,,4,5,1,2,10,5,6,2,1,1,,2,9,48,11,1,,1,2,,1,,4,1,,16,1,,3,,1,5
04/20/2020,17,,,,1,3,2,3,4,22,102,17,12,2,,19,,,,5,3,1,,3,1,,2,8,84,11,,,,5,,2,,1,1,1,2,,,1,,2,6
04/21/2020,22,,,,,,,2,3,21,123,13,10,7,2,13,2,1,1,16,12,5,5,2,4,2,8,5,54,19,,,,2,1,,2,,1,5,21,,,1,,,4
04/22/2020,22,,,,,1,1,1,5,21,132,25,40,3,3,14,5,1,4,19,6,1,3,2,12,2,1,11,31,17,,,,3,,,,1,,,21,2,33,1,,,5
04/23/2020,45,,,,,,,,2,24,134,39,33,4,1,9,3,,1,12,17,,2,,4,1,1,7,35,20,,,,2,,,,1,,,12,9,14,1,,,2
04/24/2020,22,,,,,1,1,,4,19,161,32,18,2,3,13,3,,1,14,6,1,,2,1,2,,4,31,25,2,,,,,,,,,,12,8,43,1,,,1
04/25/2020,39,,,,1,,2,,3,10,103,31,22,,1,12,1,1,3,1,4,,,,1,5,,4,29,15,,,1,2,,,,1,,,14,1,57,,,,1
04/26/2020,14,,,,,,1,2,1,8,72,16,19,1,4,3,,,1,1,9,1,,,,1,,4,16,9,1,,5,2,,,,1,,,11,,,1,,,3
